Cycle Life,b(nQ=0.99),b(nQ=0.98),b(nQ=0.97),b(nQ=0.80)
1935,0.009260363,0.006162207,0.004907865,0.003719588
1836,0.008406241,0.005927148,0.004872629,0.003975488
1801,0.009136795,0.006179498,0.005038435,0.004043477
1642,0.009246823,0.006631469,0.005672362,0.004429832
1638,0.011002819,0.006753093,0.005207192,0.004431067
1315,0.01081483,0.007349246,0.005983437,0.005582063
1284,0.011740848,0.007758432,0.006039063,0.005617718
1267,0.013068272,0.007545071,0.005947871,0.005803556
1158,0.012304503,0.008288202,0.006827613,0.006332242
1156,0.012363165,0.008140715,0.006573493,0.006141525
1155,0.012183835,0.008261381,0.006821465,0.006408061
1146,0.012360173,0.008116344,0.006789871,0.006440286
1115,0.012586846,0.007923353,0.006743609,0.006610036
1093,0.011878226,0.008577854,0.007280311,0.006744261
1078,0.011143532,0.00799433,0.007072765,0.006893664
1074,0.013051884,0.008839203,0.008155913,0.006883908
1063,0.013185626,0.008264151,0.006916158,0.006947212
1054,0.011019941,0.009178104,0.008104658,0.007125673
1051,0.01205496,0.009322242,0.008088458,0.007117118
1048,0.013048936,0.008809855,0.007600724,0.007122128
1046,0.010322968,0.008167168,0.007248863,0.007108941
1039,0.009758768,0.007920098,0.007354282,0.007191631
1028,0.012332037,0.008949629,0.007731185,0.007274139
1017,0.012033454,0.009525386,0.008308211,0.007345146
1014,0.010279841,0.009089551,0.008247531,0.007392861
1009,0.012743374,0.008787113,0.007510264,0.007292482
1002,0.010840716,0.007852991,0.007086378,0.007189533
989,0.011953211,0.008929893,0.007595927,0.007438958
966,0.011369236,0.009230261,0.008822957,0.007776128
940,0.010541524,0.008564325,0.007953704,0.007889671
935,0.01181687,0.008462054,0.007825766,0.007937314
932,0.010483063,0.008981319,0.008333203,0.008041936
923,0.014088583,0.009474505,0.008172973,0.007755548
917,0.014262321,0.010121185,0.009189024,0.008210363
880,0.013928762,0.010218792,0.00931224,0.008603651
876,0.014322865,0.00905198,0.008838657,0.008442795
876,0.013656132,0.010698981,0.009669327,0.008662632
870,0.014359656,0.009800224,0.009319004,0.008705922
870,0.01340626,0.009916196,0.009384436,0.008724004
862,0.013376633,0.009488418,0.009096385,0.008837552
860,0.013986966,0.01034056,0.009605951,0.008800957
858,0.014808489,0.010217952,0.009511058,0.008642102
858,0.012438149,0.011070946,0.009896603,0.008721453
857,0.01111365,0.009892654,0.009393986,0.008863026
854,0.014343414,0.010382631,0.009711285,0.008827477
850,0.013877343,0.010197161,0.009242394,0.008719562
842,0.013640628,0.010058113,0.009480984,0.008945382
828,0.015821169,0.010250171,0.009282129,0.008764225
828,0.013467989,0.011362322,0.009670238,0.008927251
825,0.015326531,0.010311776,0.009414428,0.008826553
817,0.014614369,0.011382621,0.010121085,0.009052045
816,0.015470083,0.01182596,0.010392615,0.009038923
813,0.013383689,0.010060515,0.009161836,0.009137273
796,0.015092652,0.011635477,0.010279936,0.009271863
788,0.018617183,0.010482174,0.010084868,0.009548935
788,0.012495655,0.012206085,0.010644525,0.009591969
786,0.013090852,0.010647885,0.009983255,0.009475066
772,0.039945109,0.016135481,0.006829758,0.008606144
757,0.015875118,0.011598438,0.010768339,0.010085918
742,0.014718558,0.010849343,0.010322072,0.010231668
731,0.01578298,0.011137874,0.010357912,0.010237441
731,0.013735884,0.012069708,0.010995967,0.010392762
719,0.014285171,0.011276068,0.010768161,0.010548840
713,0.025252616,0.017288456,0.01403601,0.010007725
709,0.01557948,0.011203341,0.010455944,0.010713101
704,0.015950436,0.011880839,0.011196972,0.010820937
703,0.01458041,0.011742967,0.011281913,0.010833053
702,0.015763472,0.012509765,0.011868246,0.010892618
691,0.035632071,0.025110513,0.016709925,0.010544612
667,0.005000022,0.005000026,0.001611284,0.009518775
651,0.016713548,0.012384225,0.011702182,0.011624885
648,0.017613105,0.013026996,0.012224252,0.011699732
636,0.022519093,0.015846177,0.012840178,0.011775680
625,0.016661918,0.013468885,0.012868667,0.012298942
617,0.016466146,0.01376631,0.012899612,0.012366673
616,0.016061961,0.014580929,0.013673343,0.012414627
599,0.017683968,0.014567892,0.013938563,0.012824877
561,0.036756631,0.026384429,0.021116049,0.012876902
559,0.038189449,0.026916082,0.021073497,0.012846858
541,0.048336851,0.035478766,0.02621463,0.012053850
535,0.018876189,0.016697004,0.015735729,0.014375410
534,0.046788465,0.035796199,0.029007385,0.012752497
527,0.030081631,0.020427366,0.016501059,0.014158023
520,0.017703777,0.016173061,0.015561457,0.014856255
519,0.018825115,0.016706434,0.01623776,0.014795080
513,0.026307254,0.023410489,0.017585555,0.014752792
511,0.065064039,0.046978464,0.038390653,0.012577443
509,0.021378863,0.017634802,0.016387631,0.014924711
502,0.025949484,0.023167591,0.018464195,0.015150863
499,0.027915823,0.016665205,0.015952463,0.015061570
499,0.019075059,0.022076942,0.019346834,0.015370883
498,0.017982074,0.016954689,0.016375646,0.015469372
495,0.023213581,0.019060228,0.017192226,0.015325015
494,2.89E-06,0.020951468,0.017942454,0.015275128
492,0.021745644,0.018402032,0.017153013,0.015553665
489,0.031683482,0.024246264,0.021341692,0.015212635
487,0.039364707,0.020752718,0.018012968,0.014894370
487,0.025124713,0.0285253,0.023366257,0.015527239
485,0.024834518,0.020727317,0.018276823,0.015668342
483,0.046226152,0.031957449,0.024671194,0.015124506
481,0.024815809,0.02042036,0.01826472,0.015699920
480,0.024897677,0.020685158,0.018178416,0.015771877
478,0.018523149,0.017380412,0.016915426,0.016155729
477,0.03370939,0.026037201,0.022483695,0.015421332
471,0.032397465,0.02531489,0.02236058,0.015844572
468,0.026502001,0.021712294,0.019219878,0.016119631
466,0.022542939,0.020337284,0.018490427,0.016520743
465,0.021329547,0.018731095,0.017606196,0.016419697
463,0.027133011,0.022268888,0.019038247,0.016267740
462,0.022773291,0.020518445,0.018872306,0.016604323
461,0.031672167,0.024891272,0.021028686,0.014763302
461,0.022949179,0.033989191,0.023888795,0.016140779
459,0.019338131,0.018714545,0.017969868,0.016854928
458,0.053218635,0.038068552,0.030871298,0.015408864
457,0.019579634,0.017675318,0.017891736,0.016918848
444,0.044619759,0.032653304,0.026771919,0.016297058
438,0.029992468,0.024426321,0.021707316,0.017214816
429,0.023436247,0.018984533,0.018687405,0.017823525
429,0.019393392,0.021822988,0.019745707,0.017964354
335,0.06637858,0.051663527,0.044919257,0.020596411
300,0.086760698,0.07727674,0.053754857,0.022627459
